FileName,gender,vowel,vocalEffort,f0,GIFmethod,OptimMethod,VTorder,VTzeros,GSorder,LipRad,DQ,PQ,RQ,STcompensation,a,b,timeLag,rmse,rmseMedian,rmseNormMedian,naqInf,naqMean,naqMedian,naqMedianSign,qoqInf,qoqMean,qoqMedian,qoqMedianSign,h1h2Mean,h1h2Median,h1h2MedianSign,hrfMean,hrfMedian,hrfMedianSign,hrfMeandB,hrfMediandB,hrfMedianSigndB,pspMean,pspMedian,pspMedianSign,spectralTiltInvFilter,spectralTiltGroundTruth,errorSpectralTiltMean,errorSpectralTiltMedian,errorSpectralTiltMedianSign,errorPeakSlopeMean,errorPeakSlopeMedian,errorPeakSlopeMedianSign,spectralDistMedian,spectralDistCompMedian
Female_AE_creaky_340Hz,Female,AE,creaky,340,QCP,grid-search,9,0,3,0.99,0.7,0,0.2,1,0.697371474809403,0.58928768173282,-25,323.707238357478,208.283608448084,19.1185405644581,0,0.234849070059054,0.233744796092019,0.233744796092019,0,0.25,0.25,-0.25,0.652890933386128,0.652417715006223,0.652417715006223,0.0550023491233366,0.0550013001628981,-0.0550013001628981,0.560155842383017,0.560145159542603,-0.560145159542603,3.73891359891557,0.814016539980002,-0.814016539980002,-4.6435805819365,-18.0370369300197,13.3934652459332,13.3934563480832,-13.3934563480832,0,0,0,2.95247897978402,2.74941262598529
Female_AE_creaky_360Hz,Female,AE,creaky,360,QCP,grid-search,9,0,3,0.99,0.4,0.075,0,1,1.07392937010765,0.605918963248239,-24,219.401262018138,157.543242500795,17.9403986864365,0,0.437966725554512,0.413602442777363,0.413602442777363,0,0.286290322580645,0.25,-0.25,0.71174397216661,0.135990364464462,0.135987728314177,0.0510191504974539,0.0531288369990695,-0.0531288369990695,0.477680519294064,0.498869338183766,-0.498869338183766,3.83028504382019,0.302605966276183,-0.302605966276183,-4.24230137710959,-15.8451156421602,11.6439841385704,11.6028142650506,-11.6028142650506,0,0,0,3.04272173076507,2.49157634082436
Female_AE_creaky_80Hz,Female,AE,creaky,80,QCP,grid-search,12,0,3,0.99,0.45,0.05,0,1,0.167679444336977,0.206583189195428,-1,398.793256210836,417.350779965642,8.23665668952919,0,0.128472484787402,0.117175687095702,0.117175687095702,0,0.0476190476190477,0.0476190476190477,-0.0476190476190477,0.14492326156573,0.0414401483350488,-0.0378405274309728,0.11535925466479,0.105939050500489,-0.105939050500489,3.92757162955404,4.01949255877427,-4.01949255877427,0.283759650528659,0.214805026122972,-0.214805026122972,-12.0862507032065,-25.6726137988549,13.9728396731077,13.5863630956484,-13.5863630956484,0,0,0,7.82136025778196,7.60521279307724
Female_AE_normal_100Hz,Female,AE,normal,100,QCP,grid-search,14,0,3,0.99,0.55,0,0.05,1,0.103751508344608,0.277440652014523,-1,683.678513126883,681.998075121024,5.4307833363218,0,0.175944928355132,0.175535850038612,0.175535850038612,0,0.0429292929292928,0.0454545454545453,-0.0454545454545453,0.379034404676394,0.33552372262465,-0.33552372262465,0.126118466237996,0.126185104109381,-0.126185104109381,3.58573912656099,3.64728459133545,-3.64728459133545,0.126936162983626,0.128227364784403,-0.128227364784403,-13.6450221192707,-27.3479721191109,13.7439716157973,13.7029440754031,-13.7029440754031,0,0,0,9.35472578013658,7.71736204875029
Female_AE_normal_120Hz,Female,AE,normal,120,QCP,grid-search,14,0,3,0.99,0.45,0,0.05,1,0.179107099925601,0.273438501532432,-1,374.16147544688,366.155053336002,4.50044741673237,0,0.0690922465395076,0.068471025405009,0.068471025405009,0,0.00239234449760766,0,0,0.306290741022626,0.285552136246601,-0.285552136246601,0.115557732673851,0.114828752942645,-0.114828752942645,2.7623611487621,2.78647380034367,-2.78647380034367,0.112750877253842,0.116959267290832,-0.116959267290832,-13.5353788504638,-28.0644758449807,14.5853371792802,14.529096994517,-14.529096994517,0,0,0,9.0774565005803,7.35751472669767
Female_AE_normal_140Hz,Female,AE,normal,140,QCP,grid-search,12,0,3,0.99,0.65,0,0.2,1,0.201633757646558,0.272538929797688,-1,321.903998434072,318.851953207683,4.14066895414173,0,0.197776775353647,0.197637764245764,0.197637764245764,0,0,0,0,0.238987723099045,0.218613482890518,-0.218613482890518,0.0985904272268142,0.0982582983034433,-0.0982582983034433,2.05324830452769,2.07695297143284,-2.07695297143284,0.102952338655493,0.0979151862293038,-0.0979151862293038,-12.8089571946628,-26.0128250629911,13.2258773204998,13.2038678683283,-13.2038678683283,0,0,0,7.66597546531301,6.06278649016813
Female_AE_normal_160Hz,Female,AE,normal,160,QCP,grid-search,11,0,3,0.99,0.4,0.075,0.15,1,0.248255558142389,0.277283981355442,-1,248.290650500089,247.010891909567,3.9224031197664,0,0.109320817243548,0.108638288497407,0.108638288497407,0,0,0,0,0.103521761906281,0.105130267522242,-0.105130267522242,0.0982530105127356,0.0965040158424229,-0.0965040158424229,1.85863880079278,1.82555330713046,-1.82555330713046,0.100207320540184,0.0902577284242826,-0.0902577284242826,-12.9245368046543,-26.8895790400294,14.0781632766807,13.9650422353752,-13.9650422353752,0,0,0,7.55423911371183,5.84321379181723
Female_AE_normal_180Hz,Female,AE,normal,180,QCP,grid-search,12,0,3,0.99,0.75,0,0.1,1,0.31080828925272,0.271106154659053,-1,219.561848198137,186.237849655072,4.07696969712446,0,0.0307651889579854,0.0302993339049616,0.0302993339049616,0,0,0,0,0.16974239035248,0.172091315910606,-0.172091315910606,0.100362270572259,0.100571098514332,-0.100571098514332,1.68871403867725,1.69222781607025,-1.69222781607025,0.197330868062425,0.0979663705889326,-0.0979663705889326,-11.2436720290834,-27.0402140079077,15.77556283935,15.7965419788242,-15.7965419788242,0,0,0,6.3647635395603,6.09945668700723
Female_AE_normal_200Hz,Female,AE,normal,200,QCP,grid-search,9,0,3,0.99,0.4,0.075,0,1,0.242861281950105,0.275377874263571,-1,259.095592861819,253.647045301732,3.60609913304214,0,0.144963841645992,0.144587018524168,0.144587018524168,0,0.181818181818182,0.181818181818182,-0.181818181818182,0.0716887613480254,0.071502247783414,0.071502247783414,0.0665915034471053,0.0665693816531477,-0.0665693816531477,1.03025272215662,1.02991047070915,-1.02991047070915,0.0642037688061041,0.0523442240425676,-0.0523442240425676,-18.3601361082379,-25.0164759753082,6.65836278110442,6.65633986707032,-6.65633986707032,0,0,0,7.30624002010045,4.8294266477805
Female_AE_normal_220Hz,Female,AE,normal,220,QCP,grid-search,12,0,3,0.99,0.4,0.05,0,1,0.372603270881218,0.275483751098098,-1,149.997465158237,148.360120373916,4.19080140461341,0,0.221194143007287,0.221493414000142,0.221493414000142,0,0.1,0.1,-0.1,0.0481850535704539,0.0499575751000947,-0.0499575751000947,0.0754755443547112,0.075501864898183,-0.075501864898183,1.06158646871113,1.06195667515399,-1.06195667515399,0.0317359561347412,0.0303178612710852,-0.0303178612710852,-13.4092542087192,-24.6665122813478,11.2451691529082,11.2572580726286,-11.2572580726286,0,0,0,6.08909315110507,4.47749876181776
Female_AE_normal_240Hz,Female,AE,normal,240,QCP,grid-search,14,0,3,0.99,0.45,0.025,0,1,0.276505721586942,0.274091024192029,-1,221.818412217612,218.794236304777,4.39461132634,0,0.21538431668203,0.21559053711289,0.21559053711289,0,0,0,0,0.158608219199316,0.139782916744551,-0.139782916744551,0.0771141429501872,0.077318056339158,-0.077318056339158,1.02669381467024,1.02940870725901,-1.02940870725901,0.12731236057486,0.12924630146474,-0.12924630146474,-14.1017643062421,-24.4933685169627,10.3969332452558,10.3916042107205,-10.3916042107205,0,0,0,6.06122830619387,5.53663780458089
Female_AE_normal_260Hz,Female,AE,normal,260,QCP,grid-search,9,0,3,0.99,0.4,0.075,0,1,0.493652138687546,0.282975433197677,30,173.286865361285,104.351793936078,5.68173898668849,0,0.143132438342567,0.143412640835443,0.143412640835443,0,0.111111111111111,0.111111111111111,-0.111111111111111,0.0929630670759898,0.0896875638842332,0.0896875638842332,0.0720982587333918,0.0719385225871479,-0.0719385225871479,0.847045997150739,0.845169337913011,-0.845169337913011,0.119199644634029,0.0918857227895248,-0.0918857227895248,-12.8186896198813,-25.1830564915176,12.3921725622161,12.3643668716363,-12.3643668716363,0,0,0,5.10416054971226,4.51226799147159
Female_AE_normal_280Hz,Female,AE,normal,280,QCP,grid-search,10,0,3,0.98,0.65,0,0.2,1,0.474498344788801,0.28095596412481,28,113.616495128385,110.031698536991,7.00948954323363,0,0.0206899001216782,0.0209316438062637,0.0209316438062637,0,0.125,0.125,-0.125,0.158384045503463,0.156739296263723,-0.156739296263723,0.0755621243739744,0.0756015207493269,-0.0756015207493269,0.829740670620793,0.830173278559966,-0.830173278559966,0.242444249752656,0.235666956228146,-0.235666956228146,-10.0476510769715,-25.2228896815925,15.1755713309123,15.175238604621,-15.175238604621,0,0,0,4.28197284066582,4.53009460719798
Female_AE_normal_300Hz,Female,AE,normal,300,QCP,grid-search,10,0,3,0.98,0.65,0,0.2,1,0.518192673547707,0.2822681228488,-28,109.306060762247,99.5193729973784,7.04902896723045,0,0.146462338071472,0.145540384448449,0.145540384448449,0,0.122641509433962,0.125,-0.125,0.0963274535219002,0.0961048661474848,-0.0961048661474848,0.0677435371030582,0.0677736515928537,-0.0677736515928537,0.694964886332518,0.695273823743712,-0.695273823743712,0.340043356636736,0.194461718053224,-0.194461718053224,-10.6686379888843,-23.8770683987554,13.2066706504684,13.2084304098711,-13.2084304098711,0,0,0,3.81505695067679,3.85730090942038
