FileName,gender,vowel,vocalEffort,f0,GIFmethod,OptimMethod,VTorder,VTzeros,GSorder,LipRad,HPflag,Niter_IOP_IAIF,a,b,timeLag,rmse,rmseMedian,rmseNormMedian,naqInf,naqMean,naqMedian,naqMedianSign,qoqInf,qoqMean,qoqMedian,qoqMedianSign,h1h2Mean,h1h2Median,h1h2MedianSign,hrfMean,hrfMedian,hrfMedianSign,hrfMeandB,hrfMediandB,hrfMedianSigndB,pspMean,pspMedian,pspMedianSign,spectralTiltInvFilter,spectralTiltGroundTruth,errorSpectralTiltMean,errorSpectralTiltMedian,errorSpectralTiltMedianSign,errorPeakSlopeMean,errorPeakSlopeMedian,errorPeakSlopeMedianSign,spectralDistMedian,spectralDistCompMedian
Male_AE_breathy_180Hz,Male,AE,breathy,180,IOP-IAIF,grid-search,14,0,6,0.99,0,10,0.0874807598497455,0.436164764261575,-1,696.051654422074,708.853826017443,2.22068825033546,0,0.0415170287560179,0.0395341503721056,-0.0395341503721056,0,0.0608552631578947,0.0526315789473684,-0.0526315789473684,0.144250773355741,0.168816277179886,-0.168816277179886,0.110215148536092,0.109737184711425,-0.109737184711425,1.61032166768526,1.60333827644137,-1.60333827644137,0.0439858474085494,0.0445212926464753,-0.0445212926464753,-29.1804665861612,-34.3795330034554,5.21986479768845,5.19906641729429,-5.19906641729429,0,0,0,10.9965360837542,6.78515769397221
Male_AE_breathy_200Hz,Male,AE,breathy,200,IOP-IAIF,grid-search,8,0,3,0.99,0,10,0.110554185062333,0.438818442426528,-1,539.105780361935,547.451353777503,2.41400561126856,0,0.0292074035180374,0.0298641333261699,-0.0298641333261699,0,0.0588235294117647,0.0588235294117648,-0.0588235294117648,0.156081305508528,0.155686728092185,-0.155686728092185,0.104618154205901,0.104724691327502,-0.104724691327502,1.40309125720416,1.40452008478214,-1.40452008478214,0.0173842840338792,0.0175045447950076,-0.0175045447950076,-28.2868925752413,-34.1519793068017,5.85979933038231,5.86508673156038,-5.86508673156038,0,0,0,11.6223222586612,6.87263191422245
Male_AE_breathy_220Hz,Male,AE,breathy,220,IOP-IAIF,grid-search,9,0,3,0.98,0,12,0.147899724376984,0.426894098734219,-1,397.226045328606,400.705660668528,4.72563674635421,0,0.0583998697674276,0.0577126591786999,-0.0577126591786999,0,0.0625,0.0625,-0.0625,0.0712674386828492,0.0705960776292045,-0.0705960776292045,0.0605305172993531,0.0611155602579978,-0.0611155602579978,0.744860177194478,0.752059441652889,-0.752059441652889,0.0368442969448941,0.0353565196981816,-0.0353565196981816,-28.783656767867,-33.2217831286642,4.37159085853355,4.43812636079716,-4.43812636079716,0,0,0,10.7005693852197,5.80225096810118
Male_AE_breathy_240Hz,Male,AE,breathy,240,IOP-IAIF,grid-search,14,0,6,0.99,0,9,0.134241500845313,0.433179494796441,0,432.767327755119,446.381984599982,5.20928015693912,0,0.0532126550046112,0.0626945299735214,0.0626945299735214,0,0.0136054421768708,0,0,0.970337066627754,1.16259682892213,-1.16259682892213,0.058834517737764,0.0575655671904127,-0.0575655671904127,0.687391289749596,0.672565544814283,-0.672565544814283,0.137267617905905,0.156057093830512,-0.156057093830512,-29.2667143248056,-33.1266506547242,3.92770204651797,3.85993632991867,-3.85993632991867,0,0,0,8.68669379557406,5.45788225771156
Male_AE_breathy_260Hz,Male,AE,breathy,260,IOP-IAIF,grid-search,8,0,6,0.99,0,11,0.146689655461158,0.440835436904643,30,402.984385610456,407.232211250297,4.37161487210805,0,0.0333728842030066,0.0342095710864915,-0.0342095710864915,0,0.0916530278232405,0.0769230769230769,-0.0769230769230769,0.648068619589471,0.658359848778034,0.658359848778034,0.0780177949999587,0.0778108530186806,-0.0778108530186806,0.811721225212049,0.809568136950698,-0.809568136950698,0.0900381826791257,0.0845081799113988,-0.0845081799113988,-28.3157790238465,-33.1239395752455,4.82346648428994,4.80816055139893,-4.80816055139893,0,0,0,9.97493832789616,5.49411528155623
Male_AE_breathy_280Hz,Male,AE,breathy,280,IOP-IAIF,grid-search,10,0,5,0.99,0,10,0.186831009035998,0.450020569183632,28,312.854290898409,313.568184954809,6.44367818126146,0,0.00454312276807759,0.00353213226703641,-0.00353157732281166,0,0.166666666666667,0.166666666666667,-0.166666666666667,0.0776113389951917,0.0556251355014155,-0.0540893451223141,0.0798950086467896,0.0794348474697368,-0.0794348474697368,0.783407276778063,0.778910614189496,-0.778910614189496,0.255510502711599,0.244298715951235,-0.244298715951235,-26.6517070695639,-31.9773457685753,5.35439318127745,5.32552943928617,-5.32552943928617,0,0,0,8.26282455144528,4.70887521244585
Male_AE_breathy_300Hz,Male,AE,breathy,300,IOP-IAIF,grid-search,8,0,4,0.98,0,10,0.231148887620167,0.431026231067921,26,239.528820887338,242.659110105796,7.12485967629769,0,0.0352396511514043,0.0361484261430591,-0.0361484261430591,0,0.166666666666667,0.166666666666667,-0.166666666666667,3.05158748660155,3.02004879690159,-3.02004879690159,0.0730765499866915,0.0732655137632172,-0.0732655137632172,0.662776911376492,0.664490741985498,-0.664490741985498,0.397355234060105,0.398905950454553,-0.398905950454553,-26.833252948324,-33.9235371301628,7.07683202611506,7.09028418183877,-7.09028418183877,0,0,0,9.02375841387184,4.92569078259111
Male_AE_breathy_320Hz,Male,AE,breathy,320,IOP-IAIF,grid-search,8,0,3,0.96,0,6,0.297049957160614,0.431555169312796,-26,177.119219507558,181.49984727267,6.88138511004912,0,0.0149458305995867,0.0143771436249381,0.0143771436249381,0,0.0909090909090908,0.0909090909090909,-0.0909090909090909,5.67530363177871,5.5987120390776,-5.5987120390776,0.0534229869658718,0.0537304553552954,-0.0537304553552954,0.45179391544242,0.454394150948181,-0.454394150948181,0.428675824300296,0.425371550887176,-0.425371550887176,-24.6635957165577,-31.8634651879623,7.19133079072339,7.19986947140463,-7.19986947140463,0,0,0,8.48900216534432,4.5722542513069
Male_AE_breathy_340Hz,Male,AE,breathy,340,IOP-IAIF,grid-search,8,0,3,0.95,0,11,0.355215048621507,0.422333252308863,-25,148.168781524606,147.066788072561,12.1843125537442,0,0.027496775911544,0.0272568587509162,0.0272568587509162,0,0.2,0.2,-0.2,10.0552983921146,10.0308801537736,-10.0308801537736,0.00545193492974137,0.00579231301841191,-0.00579231301841191,0.0461023219336991,0.0489806065106961,-0.0489806065106961,0.829140722683901,0.832386332998793,-0.832386332998793,-28.5703809697292,-32.2967201765442,3.7002296478431,3.726339206815,-3.726339206815,0,0,0,5.76278420826262,2.86397727021661
Male_AE_breathy_360Hz,Male,AE,breathy,360,IOP-IAIF,grid-search,11,0,3,0.98,0,11,0.266063125268763,0.426827691143503,-23,207.742228190366,208.572156677049,15.091552571203,0,0.0858393699566657,0.0866085493780508,0.0866085493780508,0,0.111111111111111,0.111111111111111,-0.111111111111111,15.9941015917413,15.6905060464593,-15.6905060464593,0.0308000241424322,0.0297188607327236,0.0297188607327236,0.241313682002043,0.23284292490016,0.23284292490016,0.694472123102091,0.696615454856876,-0.696615454856876,-26.2780351683577,-31.3902676453272,5.1097073507632,5.11223247696947,-5.11223247696947,0,0,0,5.85635226951219,3.24162564902991
Male_AE_breathy_80Hz,Male,AE,breathy,80,IOP-IAIF,grid-search,14,0,6,0.99,0,10,0.0247501965476474,0.427305620794785,-3,2521.14843490637,2586.22154728327,4.40359035696106,0,0.0327443814448758,0.0307076089233477,-0.0307076089233477,0,0.106271777003484,0.0975609756097562,-0.0975609756097562,0.123091482131525,0.0891927370457637,0.0891927370457637,0.229672684573244,0.225630093247462,-0.225630093247462,6.0183363478016,6.33796691957104,-6.33796691957104,0.120134309691639,0.105499885794825,-0.105499885794825,-33.0427389388676,-37.4423049027738,4.30237364047176,4.38753393559133,-4.38753393559133,0,0,0,15.1006396381361,10.7869683940708
Male_AE_creaky_100Hz,Male,AE,creaky,100,IOP-IAIF,grid-search,14,0,6,0.99,0,10,0.149970982451276,0.204968961092539,-1,484.987362154763,476.655084719887,6.60803516881133,0,0.0280678524703006,0.0299048956308946,-0.0299048956308946,0,0.117647058823529,0.117647058823529,-0.117647058823529,0.0548701925774861,0.0438578241714396,-0.0438578241714396,0.0645123648121315,0.0655042152399794,-0.0655042152399794,1.99786000195685,2.06257565792908,-2.06257565792908,0.164066879036572,0.135182412319036,-0.135182412319036,-20.5692339964009,-25.8377539534631,5.12288599179381,5.26851995706218,-5.26851995706218,0,0,0,9.06151100869158,6.21196314187183
Male_AE_creaky_120Hz,Male,AE,creaky,120,IOP-IAIF,grid-search,14,0,4,0.99,0,10,0.177087957272209,0.203225324576105,-1,391.722863087922,392.422282924515,6.31863423397704,0,0.00151020411881537,0.000900298208742756,-0.000900298208742756,0,0.0714285714285715,0.0714285714285715,-0.0714285714285715,0.194805965824187,0.189385833543653,-0.189385833543653,0.0578457373021424,0.0575199793285571,-0.0575199793285571,1.52013926990231,1.52806580990062,-1.52806580990062,0.190913266049974,0.186913969628261,-0.186913969628261,-18.6085253982246,-24.4339916026678,5.83845755995371,5.82554715406041,-5.82554715406041,0,0,0,8.35521396647937,6.17416178198078
Male_AE_creaky_140Hz,Male,AE,creaky,140,IOP-IAIF,grid-search,8,0,6,0.99,0,9,0.225485534193991,0.198637187803826,-1,294.977069157112,291.484679812873,9.62140057717649,0,0.00132907961938692,0.00124158232665245,-0.00123246416485181,0,0.0833333333333333,0.0833333333333334,-0.0833333333333334,0.129950913307436,0.121025697267129,0.121025697267129,0.0327562532096387,0.032451547607839,-0.032451547607839,0.74442614712857,0.746282252020993,-0.746282252020993,0.230353661049295,0.239336390914068,-0.239336390914068,-19.2352184058412,-22.5917080707343,3.39141777053224,3.3574444133112,-3.3574444133112,0,0,0,7.11843066509126,5.25258481605141
Male_AE_creaky_160Hz,Male,AE,creaky,160,IOP-IAIF,grid-search,9,0,3,0.99,0,9,0.295032753357866,0.200154311459083,-1,208.432566530208,205.710188834949,9.06116331356072,0,0.0877624972189584,0.0872905042947644,0.0872905042947644,0,0.1,0.1,-0.1,0.0742504312381556,0.0668722361572733,-0.0668457890471643,0.0329260973465088,0.0331591900836284,-0.0331591900836284,0.678920490509501,0.683726752051951,-0.683726752051951,0.275067733479138,0.259276790550346,-0.259276790550346,-18.7540907430952,-22.4000851628051,3.61855596414879,3.64599441970998,-3.64599441970998,0,0,0,6.24644609944452,4.12747089639283
Male_AE_creaky_180Hz,Male,AE,creaky,180,IOP-IAIF,grid-search,9,0,6,0.99,0,9,0.363888311380374,0.204771840468843,-1,162.058943320552,155.245013813925,13.9090043210575,0,0.104385051695367,0.104637080747802,0.104637080747802,0,0.111111111111111,0.111111111111111,-0.111111111111111,0.377518243346447,0.3757284790806,0.3757284790806,0.0277387034806537,0.0277505039757654,-0.0277505039757654,0.509720180186537,0.509937023432251,-0.509937023432251,0.652907266462794,0.650284998904308,-0.650284998904308,-17.1779145915008,-21.1781296610399,3.99054658063533,4.00021506953903,-4.00021506953903,0,0,0,5.376789464401,3.60025601024568
Male_AE_creaky_200Hz,Male,AE,creaky,200,IOP-IAIF,grid-search,11,0,5,0.98,0,9,0.317716299807558,0.212169998468982,-1,189.955379746373,187.649049596989,14.8075172350232,0,0.0916514102501584,0.0917936705156008,-0.0917936705156008,0,0.25,0.25,-0.25,0.773522696299847,0.767073244455077,-0.767073244455077,0.0391668825428646,0.0395319306505037,-0.0395319306505037,0.655159825372835,0.661266128425975,-0.661266128425975,0.997656065157617,0.983371015045687,-0.983371015045687,-14.4651796484609,-20.9983692879817,6.51345007551019,6.53318963952079,-6.53318963952079,0,0,0,4.66316277719065,4.39717702606594
Male_AE_creaky_220Hz,Male,AE,creaky,220,IOP-IAIF,grid-search,10,0,3,0.99,0,10,0.395487512277433,0.206284583920069,0,142.560473223368,140.009369783703,15.6917654719628,0,0.0851769426666626,0.0841029927308888,-0.0841029927308888,0,0.142857142857143,0.142857142857143,-0.142857142857143,0.323598667361239,0.324425821674936,-0.324425821674936,0.0182141745986891,0.0173428084988606,0.0173428084988606,0.277191906318159,0.263931045717325,0.263931045717325,1.16615687938853,1.1591590257926,-1.1591590257926,-19.6976537504711,-19.5203349398046,0.303275422227894,0.177318810666527,0.177318810666527,0,0,0,2.63240655735493,2.34644136640433
