FileName,gender,vowel,vocalEffort,f0,GIFmethod,OptimMethod,VTorder,VTzeros,GSorder,LipRad,HPflag,a,b,timeLag,rmse,rmseMedian,rmseNormMedian,naqInf,naqMean,naqMedian,naqMedianSign,qoqInf,qoqMean,qoqMedian,qoqMedianSign,h1h2Mean,h1h2Median,h1h2MedianSign,hrfMean,hrfMedian,hrfMedianSign,hrfMeandB,hrfMediandB,hrfMedianSigndB,pspMean,pspMedian,pspMedianSign,spectralTiltInvFilter,spectralTiltGroundTruth,errorSpectralTiltMean,errorSpectralTiltMedian,errorSpectralTiltMedianSign,errorPeakSlopeMean,errorPeakSlopeMedian,errorPeakSlopeMedianSign,spectralDistMedian,spectralDistCompMedian
Male_O_breathy_320Hz,Male,O,breathy,320,Original-IAIF,grid-search,10,0,3,0.98,0,1.31230554764824,0.432930358006447,-26,78.7089637499812,79.6823318003595,12.6624525484707,0,0.101581873083372,0.0972629831370465,-0.0972629831370465,0,0.105263157894737,0.0909090909090909,-0.0909090909090909,12.8479654806477,12.7466802458725,-12.7466802458725,0.0112481639239672,0.0119545531747507,0.0119545531747507,0.0951248200328778,0.1010986972637,0.1010986972637,0.987699965635228,0.9821276813063,-0.9821276813063,-19.1804409325736,-31.8634651879623,12.7665398954229,12.6830242553887,-12.6830242553887,0,0,0,4.53790381502935,2.44089271486087
Male_O_breathy_340Hz,Male,O,breathy,340,Original-IAIF,grid-search,8,0,3,0.96,0,0.985215618236911,0.422396211039705,-25,79.7290903002006,78.0471182278393,13.2919691566792,0,0.13246717285033,0.130229261207551,-0.130229261207551,0,0.2,0.2,-0.2,12.1421860333424,11.9370276454053,-11.9370276454053,0.0517480684441512,0.0507957359104601,0.0507957359104601,0.437588882039817,0.42953582535041,0.42953582535041,0.849052842769002,0.845348221633493,-0.845348221633493,-27.2122189322485,-32.2967201765442,5.1036700945604,5.0845012442957,-5.0845012442957,0,0,0,3.03193262836642,2.73059973594824
Male_O_breathy_360Hz,Male,O,breathy,360,Original-IAIF,grid-search,8,0,4,0.99,0,1.29302400315115,0.446861081510908,-24,81.1974473412136,82.3196444524298,12.2360276892725,0,0.0378411629527283,0.0323330280760277,0.0323330280760277,0,0.352733686067019,0.333333333333333,-0.333333333333333,5.94379389034692,6.30116314985415,-6.30116314985415,0.0148259320486676,0.0153819623550473,0.0153819623550473,0.116159008032957,0.120515424116163,0.120515424116163,0.575960009611038,0.57199447376298,-0.57199447376298,-27.5414463907586,-31.3902676453272,3.96970442370968,3.84882125456865,-3.84882125456865,0,0,0,3.84862216381703,2.59613353729082
Male_O_breathy_80Hz,Male,O,breathy,80,Original-IAIF,grid-search,7,0,6,0.99,0,0.379889576585214,0.429438408328628,-3,132.895144136046,132.05570993008,4.12403576745645,0,0.0193501780620545,0.018001663493477,0.018001663493477,0,0.12020905923345,0.121951219512195,-0.121951219512195,0.425380916088203,0.0441457017455207,0.0441457017455207,0.229545597253696,0.219890910898424,-0.219890910898424,5.62724297175622,6.17833103655589,-6.17833103655589,0.183776883060423,0.135847502330005,-0.135707205663021,-20.8117404936204,-37.4423049027738,15.6250381513128,16.627373092849,-16.627373092849,0,0,0,6.72235000037145,3.61705404591664
Male_O_creaky_100Hz,Male,O,creaky,100,Original-IAIF,grid-search,13,0,6,0.99,0,1.33380663253826,0.207791004623973,-1,62.4683646882261,58.9800478598427,6.54372651147082,0,0.0166030483349119,0.0184906770017628,0.0184906770017628,0,0.0588235294117647,0.0588235294117648,-0.0588235294117648,0.131931218211429,0.117088817256374,-0.117088817256374,0.053333991473054,0.0537035072482949,-0.0537035072482949,1.65533285116326,1.69058916724664,-1.69058916724664,0.161942548535755,0.14553620476314,-0.14553620476314,-15.328706657319,-25.8377539534631,10.5130982675725,10.5090472961441,-10.5090472961441,0,0,0,2.51785229802761,1.39244531213388
Male_O_creaky_120Hz,Male,O,creaky,120,Original-IAIF,grid-search,10,0,6,0.99,0,1.60947891210368,0.203480295657885,-1,59.6062727196949,62.211925033575,7.68581689653192,0,0.0236176080012953,0.0235330362466018,0.0235330362466018,0,0.0714285714285715,0.0714285714285715,-0.0714285714285715,0.0822577580927205,0.0803454314445275,0.0803454314445275,0.0394291793788888,0.0396582255104377,-0.0396582255104377,1.03223374269446,1.05376173656418,-1.05376173656418,0.209774589539188,0.222140624732253,-0.222140624732253,-14.9052566114811,-24.4339916026678,9.49974222883283,9.52885188756099,-9.52885188756099,0,0,0,2.42728206645372,1.65970306707176
Male_O_creaky_140Hz,Male,O,creaky,140,Original-IAIF,grid-search,9,0,3,0.99,0,2.12910226439488,0.200140204166495,-1,69.5358380690885,69.5800110287288,8.0335742443514,0,0.0650619160814176,0.0649849505832462,0.0649849505832462,0,0.0866666666666667,0.0833333333333334,-0.0833333333333334,0.0474892872293594,0.034275648439376,-0.034275648439376,0.0429783510701513,0.0435673735868048,-0.0435673735868048,0.973528132499,1.0017403783744,-1.0017403783744,0.343876340196824,0.343358798176331,-0.343358798176331,-13.9996880956765,-22.5917080707343,8.6633300888566,8.5946840225307,-8.5946840225307,0,0,0,2.47135514954838,2.28446794062138
Male_O_creaky_160Hz,Male,O,creaky,160,Original-IAIF,grid-search,8,0,6,0.99,0,1.36436586374987,0.203645624071077,-1,64.3227555032917,58.3728957548306,10.981524520434,0,0.102445453117019,0.102681369850074,0.102681369850074,0,0.2,0.2,-0.2,0.197417994582058,0.198324893105351,0.198324893105351,0.019950409918828,0.0196759956831249,-0.0196759956831249,0.411367977972418,0.405709686752973,-0.405709686752973,0.460060202986388,0.439367574717462,-0.439367574717462,-17.5462203514132,-22.4000851628051,4.84625556000991,4.8538648113919,-4.8538648113919,0,0,0,2.75503093655556,1.16549529133578
Male_O_creaky_180Hz,Male,O,creaky,180,Original-IAIF,grid-search,9,0,6,0.99,0,2.13712248384282,0.207898228933293,-1,73.537792520955,70.7477291788566,12.756230408797,0,0.179022649625397,0.180150096448357,0.180150096448357,0,0.222222222222222,0.222222222222222,-0.222222222222222,0.131629702641764,0.111540251385193,-0.111540251385193,0.0353752896738608,0.0362632545762314,-0.0362632545762314,0.650048371557356,0.666365415010786,-0.666365415010786,0.832155401547655,0.815842597008329,-0.815842597008329,-13.5581801106627,-21.1781296610399,7.54257906425221,7.61994955037719,-7.61994955037719,0,0,0,2.61243220015412,2.01969320929448
Male_O_creaky_200Hz,Male,O,creaky,200,Original-IAIF,grid-search,9,0,3,0.98,0,2.38101468615346,0.210570339791293,-1,74.4499973686627,74.5991649251535,20.446096204245,0,0.0807865334805002,0.0829680420304073,-0.0829680420304073,0,0.135416666666667,0.125,-0.125,0.685868150516862,0.682397359447307,0.682397359447307,0.011132743349231,0.0121020330160776,-0.0121020330160776,0.18622176990013,0.202435458803553,-0.202435458803553,1.53835779088668,1.50286558368451,-1.50286558368451,-14.2804124724979,-20.9983692879817,6.64436557556385,6.71795681548384,-6.71795681548384,0,0,0,3.16495537916905,2.76191683183968
